Article,Sentence_en,Claim,Sentence
The American Bar Association brings more harm than good,A paper in the peer reviewed Tax Lawyer journal from the American Bar Association asserts that illegal immigrants contribute more in taxes than they cost in social services.,FALSE,"Ein Papier in der Peer-Reviews der Peer-Reviewing steuerwertiger Journal des American Bar Association geltend, dass illegale Einwanderer mehr in Steuern beitragen, als sie in sozialen Dienstleistungen kosten."
The American Bar Association brings more harm than good,"1956 - At NYCLA's urging, the American Bar Association removes questions about race from its membership application.",FALSE,1956 - Bei NiCAs Dringung Entfernt der American Bar Association Fragen zum Rennen von seiner Mitgliedschaftsanwendung.
The American Bar Association brings more harm than good,"The Mission of the American Bar Association is to be the national representative of the legal profession, serving the public and the profession by promoting justice, professional excellence and respect for the law.""",FALSE,"Die Mission des amerikanischen Barverbandes ist es, der nationale Vertreter des juristischen Berufs zu sein, der der Öffentlichkeit und dem Beruf dient, indem Gerechtigkeit, professionelle Exzellenz und Respekt für das Gesetz fördert. """
The American Bar Association brings more harm than good,The American Bar Association acknowledged CEB's blog as one of the top 100 law blogs in 2011.,FALSE,Der American Bar Association bestätigte 2011 als eines der Top-100-Blogs von CEB als eines der Top 100-Blogs.
The American Bar Association brings more harm than good,"The American Bar Association unanimously rated him ""well qualified"" for the position.",FALSE,"Die American Bar Association bewertete ihn einstimmig mit ihm ""gut qualifiziert"" für die Position."
The American Bar Association brings more harm than good,"When a partner resigns from his or her law firm, American Bar Association and local bar rules require his or her clients to be notified, giving them a chance to decide whether to follow the lawyer to the new firm, or stay.",FALSE,"Wenn ein Partner von seiner Anwaltskanzlei zurücktrifft, erfordern die amerikanische Barverband und die lokalen Barregeln seine Kunden, um benachrichtigt zu werden, und geben ihnen die Möglichkeit, sich zu entscheiden, ob der Anwalt an die neue Firma folgen soll oder bleiben oder bleiben."
The American Bar Association brings more harm than good,"In order to obtain, and maintain, accreditation through the American Bar Association (ABA), law schools must meet certain standards set by the ABA.",FALSE,"Um die Akkreditierung durch den American Bar Association (ABA) zu erhalten, müssen Rechtschulen bestimmte Normen erfüllen, die von der ABA eingestellt sind."
The American Bar Association brings more harm than good,A report published in 2012 by the American Bar Association argues that airline safety is undermined by such prosecutions because its threat would impede the investigative processes.,FALSE,"Ein 2012 veröffentlichter Bericht des American Bar Association argumentiert, dass die Sicherheit der Fluggesellschaften von solchen Verfolgerungen untergraben wird, da seine Bedrohung die Untersuchungsprozesse behindern würde."
The American Bar Association brings more harm than good,"The American Bar Association gave her a unanimous ""well qualified"" assessment, its highest mark for professional qualification.",FALSE,"Der amerikanische Barverband gab ihr eine einstimmige ""gut qualifizierte"" Bewertung, seine höchste Marke für die berufliche Qualifikation."
The American Bar Association brings more harm than good,"Ultimately, on a scale of well-qualified, qualified, or unqualified, 12 members of the Standing Committee on the Federal Judiciary voted that he was ""qualified"", one abstained, and the other two voted ""not qualified"", for an overall vote of qualified.",FALSE,"Letztendlich stimmte auf einer Skala von gut qualifizierten, qualifizierten, qualifizierten oder unqualifizierten, 12 Mitgliedern des ständigen Ausschusses für die Bundesratie, dass er ""qualifiziert"" war, einer enthielt, und die anderen beiden stimmten ""nicht qualifiziert"", um eine Gesamtabstimmung zu haben qualifiziert."
The American Bar Association brings more harm than good,"The American Bar Association opposes ""zero tolerance policies that mandate either expulsion or referral of students to juvenile or criminal court, without regard to the circumstances or nature of the offense or the students history."".",FALSE,"Der American Bar Association widersetzt sich gegenüber der ""Zero-Toleranz-Richtlinien, die entweder Vertreibung oder Verweis von Studenten an das Jugend- oder Strafgerichtshof aufweist, ohne dass die Umstände oder der Natur der Straftat oder der Schülergeschichte berücksichtigt werden."""
The American Bar Association brings more harm than good,"The American Bar Association has recognized Counterfeit Chic as a top 100 law blog, and Counterfeit Chic has also received attention in multiple media outlets, including the New York Times, ABC News, and The Tyra Banks Show.",FALSE,"Der American Bar Association hat gefälschte Chic als Top 100-Blog anerkannt, und gefälschte Chic hat auch in mehreren Medienaufkommen aufmerksam gemacht, darunter die New York Times, ABC News und die Tyrra Bankenshow."
The American Bar Association brings more harm than good,The American Bar Association newsletter quickly pointed out possible adverse consequences for Indian gaming and tribal sovereignty.,FALSE,Der Newsletter der American Bar Association weist schnell auf mögliche nachteilige Folgen für die indische Gaming- und Tribal-Souveränität auf.
The American Bar Association brings more harm than good,The American Bar Association refused to endorse such a method.,FALSE,"Der American Bar Association weigerte sich, eine solche Methode zu unterstützen."
The American Bar Association brings more harm than good,"On August 15, 2011 the American Bar Association passed a resolution recommending that law schools require supporting information such as evidence of tribal enrollment or connection with Native American culture.",FALSE,"Am 15. August 2011 hat der American Bar Association eine Entschließung bestanden, die empfohlen hat, dass juristische Schulen unterstützt, Informationen wie Beweise für eine Stammesanmeldung oder -verbindung mit der Kultur der einheimischen Amerikaner zu unterstützen."
The American Bar Association brings more harm than good,"Even conservative elements, such as the American Bar Association began to campaign for civil liberties, which were long considered to be the domain of left-leaning organizations.",FALSE,"Sogar konservative Elemente, wie der amerikanische Barverband, begann sich mit der Kampagne für bürgerliche Freiheiten, die lange als der Bereich linke lehne Organisationen angesehen wurden."
The American Bar Association brings more harm than good,The American Bar Association passed a resolution supporting the new bill.,FALSE,"Der American Bar Association hat eine Resolution übergeben, die die neue Rechnung unterstützte."
The American Bar Association brings more harm than good,"However, Nixon decided against Lillie's nomination after the American Bar Association found Lillie to be unqualified.",FALSE,"Nixon entschied sich jedoch gegen Lillies Nominierung, nachdem der American Bar Association Lillie gefunden wurde, um unqualifiziert zu sein."
The American Bar Association brings more harm than good,The American Bar Association has issued disclaimers of law school rating systems.,FALSE,Der American Bar Association hat Haftungsausschlüsse von Rechts-Schulratssystemen ausgestellt.
The American Bar Association brings more harm than good,"In 1989, the American Bar Association rated the twelve best trial films of all time, and provided a detailed and reasoned legal evaluation for its choices.",FALSE,1989 bewertete der American Bar Association die zwölf besten Probefilme aller Zeiten und lieferte eine detaillierte und ergriffene Rechtsbewertung für ihre Entscheidungen.
The American Bar Association brings more harm than good,The American Bar Association has released a statement on minimum requirements for law firms delivering legal service online.,FALSE,"Der American BAR Association hat eine Erklärung zu Mindestanforderungen an Anwaltskanzleien veröffentlicht, die juristischen Dienstleistungen online liefern."
The American Bar Association brings more harm than good,"In 1989 the American Bar Association's House of Delegates adopted a resolution stating that ""the American Bar Association and each of its entities should use gender-neutral language in all documents establishing policy and procedure.""",FALSE,"Im Jahr 1989 nahm das Haus der Delegierten des American Bar Association eine Entschließung an, dass ""der American Bar Association und jede seiner Unternehmen eine geschlechtsneutrale Sprache in allen Dokumenten einsetzen sollte, die Politik und Verfahren festlegen."""
The American Bar Association brings more harm than good,"American Bar Association guidelines discourage overcharging, but do not prohibit it.",FALSE,"American Bar Association Richtlinien entmutigen die Überladung, verbieten sie jedoch nicht."
The American Bar Association brings more harm than good,"Given that the vast majority of criminal sentencing is done at the state level, the American Law Institute and the American Bar Association have each recommended such systems for all the states, and nearly half the states presently have such systems, although significant variations exist among them.",FALSE,"Da die große Mehrheit der strafrechtlichen Verurteilung auf staatlicher Ebene erfolgt, haben das amerikanische Rechtsinstitut und der American Bar Association jeweils solche Systeme für alle Staaten empfohlen, und fast die Hälfte der Staaten hat derzeit solche Systeme, obwohl unter ihnen erhebliche Variationen vorhanden sind ."
The American Bar Association brings more harm than good,"The American Bar Association defines a branch as ""the creation of a different law school."".",FALSE,"Die American Bar Association definiert einen Zweig als ""die Schaffung einer anderen Rechtsschule""."
The American Bar Association brings more harm than good,"The American Bar Association best practice standards, state court e-file initiatives, and the Health Insurance Portability and Accountability Act (HIPAA) all appear to be driving demand for greater levels of online accountability within the legal, medical, and insurance industries.",FALSE,"Die Best-Practice-Standards der American Bar Association, die E-File-Initiativen des Staatsgerichts, und die Krankenversicherungsportabilitäts- und Accountability Act (HIPAA) scheinen die Nachfrage nach mehr Online-Rechenschaftspflicht in der Rechts-, Medizin- und Versicherungsbranche zu treiben."
The American Bar Association brings more harm than good,"Nelson noted that the American Bar Association denounced signing statements as presenting ""grave harm to the separation of powers doctrine, and the system of checks and balances, that have sustained our democracy for more than two centuries.""",FALSE,"Nelson stellte fest, dass der American Bar Association die Unterzeichnung von Aussagen als Präsentation von ""schweren Schaden an die Trennung von Befugnislehre, und das System von Schecks und Salden, das unsere Demokratie seit mehr als zwei Jahrhunderten aufrechterhalten hat."""
The American Bar Association brings more harm than good,"2016 - An ethics rule of the American Bar Association now forbids comments or actions that single out someone on the basis of disability, as well as other factors.",FALSE,"2016 - Eine Ethikregel des American Bar Association verbietet nun Kommentare oder Aktionen, die jemanden auf der Grundlage der Behinderung sowie andere Faktoren ausgleichen."
The American Bar Association brings more harm than good,"The American Bar Association (ABA) has a Section of Environment, Energy, and Resources, which is a ""forum for lawyers working in areas related to environmental law, natural resources law, and energy law.""",FALSE,"Der American Bar Association (ABA) verfügt über einen Teil von Umwelt, Energie und Ressourcen, ein ""Forum für Rechtsanwälte, die in Gebieten in Bereichen mit Umweltrecht, Natural Ressourcenrecht und Energierecht arbeiten."""
The American Bar Association brings more harm than good,The American Bar Association first developed standards on pretrial release as part of their Criminal Justice Standards in 1964.,FALSE,Der American Bar Association entwickelte erstmals im Rahmen ihrer kriminellen Gerechtigkeitsnormen 1964 als Teil ihrer strafrechtlichen Normen.
The American Bar Association brings more harm than good,"A resolution recommending approval of UCITA by the American Bar Association (ABA) has been withdrawn by the NCCUSL in 2003, indicating that UCITA lacks the consensus which is necessary for it to become a uniform law.",FALSE,"Eine Entschließung, die die Genehmigung von Ucita von der American Bar Association (ABA) empfiehlt, wurde 2003 vom NCCUSL vom NCCUSL zurückgezogen, was darauf hindeutet, dass Ucita den Konsens fehlt, der erforderlich ist, um ein einheitliches Gesetz zu werden."
The American Bar Association brings more harm than good,The American Bar Association recommends bollards as effective protection against car ramming attacks.,FALSE,Der American Bar Association empfiehlt Poller als wirksamer Schutz gegen Kfz-Rammenangriffe.
The American Bar Association brings more harm than good,"An American Bar Association chair later said, ""Her articles were important, not because they were radically new but because they helped formulate something that had been inchoate.""",FALSE,"Ein American Bar Association Chair später sagte: ""Ihre Artikel waren wichtig, nicht weil sie radikal neu waren, sondern weil sie dazu beitragen, etwas zu formulieren, das inchoatiert worden war."""
Digital rights management brings more harm than good,"Generally, they claim that digital rights management is meant to prevent illegal copying of the e-book.",TRUE,"Im Allgemeinen behaupten sie, dass das Digital Rights Management das illegale Kopieren des E-Books verhindern soll."
Digital rights management brings more harm than good,"However, in many cases, it is also possible that digital rights management will result in the complete denial of access by the purchaser to the e-book.",TRUE,"In vielen Fällen ist es jedoch auch möglich, dass das Digital Rights Management zum vollständigen Anteil des Zugangs vom Käufer zum E-Book führt."
Digital rights management brings more harm than good,"In an article for Information & Communications Technology Law, Peter Holm suggests that perhaps GamersGate's best DRM-free defense against piracy is simply that it makes the legal purchase of games easy and cheap.",FALSE,"In einem Artikel zum Informations- und Kommunikationstechnologie-Recht schlägt Peter Holm vor, dass die beste drm-freie Verteidigung von Gamersgate der beste drmfreie Verteidigung gegen Piraterie einfach ist, dass es den rechtlichen Kauf von Spielen einfach und billig macht."
Digital rights management brings more harm than good,Some academics believe future digital rights management systems may become sophisticated enough to permit exceptions to copyright law.,FALSE,"Einige Akademiker glauben, dass zukünftige Digital Rights-Management-Systeme anspruchsvoll genug werden, um Ausnahmen vom Urheberrechtsrecht zuzulassen."
Digital rights management brings more harm than good,"He noted that the EULA does not mention the software, and he asserted emphatically that the software is illegitimate and that digital rights management had ""gone too far"".",TRUE,"Er stellte fest, dass die EULA die Software nicht erwähnt, und er behauptete nachdrücklich, dass die Software unehelich ist und dass das Digital Rights Management ""zu weit weg"" war."
Digital rights management brings more harm than good,"However, the DRM protection was cracked within a week.",FALSE,Der DRM-Schutz wurde jedoch innerhalb einer Woche geknackt.
Digital rights management brings more harm than good,"Andrew T. Forcehimes argues that the way we think about copyrights is inconsistent, because every argument for (physical) public libraries is also an argument for stealing ebooks and every argument against stealing ebooks would also be an argument against libraries.",FALSE,"Andrew T. ForceSpimes argumentiert, dass wir, wie wir über Urheberrechte inkonsistent halten, da jedes Argument für (physische) öffentliche Bibliotheken auch ein Argument für diebstahlende E-Books ist, und jedes Argument gegen das Stehlen von E-Books wäre auch ein Argument gegen Bibliotheken."
Digital rights management brings more harm than good,The use of digital rights management is not universally accepted.,FALSE,Die Verwendung von Digital Rights Management ist nicht allgemein angenommen.
Digital rights management brings more harm than good,"This can cause confusion, because digital rights management (DRM) technologies are typically associated with business to consumer systems designed to protect rich media such as music and video.",FALSE,"Dies kann Verwirrung verursachen, da digitale Technologien der Digital Rights Management (DRM) typischerweise mit dem Geschäft an Verbrauchersysteme verbunden sind, um reiche Medien wie Musik und Video zu schützen."
Digital rights management brings more harm than good,"No digital rights management (DRM) protection was placed on the game because ""we.. believe that any game will be cracked, no matter how we try to protect it, so our philosophy is that adding DRM or anything similar only annoys the people who actually pay for it.""",FALSE,"Es wurde kein Digital Rights Management (DRM) auf dem Spiel platziert, denn ""wir glauben. tatsächlich dafür bezahlen. """
Digital rights management brings more harm than good,Copyright issues and technological limitations imposed by digital rights management are the strongest barriers to this transformation.,TRUE,"Urheberrechtsfragen und technologische Einschränkungen, die von Digital Rights Management auferlegt werden, sind die stärksten Barrieren dieser Transformation."
Digital rights management brings more harm than good,The FSF also argues that ACTA will make it harder for users of free operating systems to play non-free media because digital rights management (DRM) protected media would not be legally playable with free software.,FALSE,"Das FSF argumentiert auch, dass Acta es für Benutzer von freien Betriebssystemen schwieriger macht, nicht kostenlose Medien zu spielen, da digitale Berechtigungsmanagement (DRM) geschützte Medien nicht mit freier Software legal spielbar sind."
Digital rights management brings more harm than good,Digital rights management is another example of this product differentiation strategy.,FALSE,Digital Rights Management ist ein weiteres Beispiel für diese Produktdifferenzierungsstrategie.
Digital rights management brings more harm than good,"Writer and computer scientist Peter Gutmann has expressed concerns that the digital rights management scheme in Microsoft's Windows Vista operating system may limit the availability of the documentation required to write open drivers as it ""requires that the operational details of the device be kept confidential."".",FALSE,"Der Autor und der Computerwissenschaftler Peter Gutmann hat Bedenken ausgedrückt, dass das Digital Rights Management-System in Microsofts Windows Vista-Betriebssystem die Verfügbarkeit der zur Schreiben von offenen Treibern erforderlichen Dokumentation einschränken kann, um die Open-Treiber als ""erfordert, dass die Betriebsdetails des Geräts vertraulich gehalten werden.""."
Digital rights management brings more harm than good,The DRM protection was met with a negative response as it had not been disclosed previous to the game's release.,FALSE,"Der DRM-Schutz wurde mit einer negativen Reaktion erfüllt, da sie nicht in der Veröffentlichung des Spiels bekannt gewesen war."
Digital rights management brings more harm than good,IT-Pol believes Digital Rights Management causes problems for normal citizens and therefore is not in the interest of the citizens.,TRUE,"IT-POL glaubt, dass das Digital Rights Management Probleme für normale Bürger verursacht und daher nicht im Interesse der Bürger ist."
Digital rights management brings more harm than good,It's really painfully obvious what people want - DRM-free music they can do what they want with.,FALSE,"Es ist wirklich schmerzhaft offensichtlich, was die Leute wollen - drm-free-Musik, mit denen sie tun können, was sie wollen."
Digital rights management brings more harm than good,She has spoken out in favor of Digital Rights Management and suggested TV may be a contributing factor in childhood obesity.,FALSE,"Sie hat sich für das digitale Rechtsmanagement gesprochen, und das vorgeschlagene Fernseher kann ein Faktor für Fettleibigkeit des Kindes sein."
Digital rights management brings more harm than good,Reaction to this digital rights management scheme was extremely negative.,TRUE,Die Reaktion auf dieses Digital Rights Management-Schema war äußerst negativ.
Digital rights management brings more harm than good,"Trusted Computing would allow companies to create a digital rights management (DRM) system which would be very hard to circumvent, though not impossible.",FALSE,"Das vertrauenswürdige Computer würde Unternehmen erlauben, ein DRM-System (Digital Rights Management (DRM)) erstellen, das sehr schwer zu umgehen wäre, wenn auch nicht unmöglich ist."
Digital rights management brings more harm than good,"Press releases said in 2003 that the console would be released that year, and the digital rights management software would be provided by DiStream.",FALSE,"Pressemitteilungen, die 2003 gesagt wurden, dass die Konsole in diesem Jahr veröffentlicht würde, und die Digital Rights Management-Software würde von DIDE ART bereitgestellt werden."
Digital rights management brings more harm than good,"Digital rights management have proved to be the most unpopular with gamers, as a measure to counter piracy.",TRUE,"Das Digital Rights Management hat sich als unbeliebigste mit Gamern erwiesen, als Maßnahme, um Piraterie entgegenzuwirken."
Digital rights management brings more harm than good,"DRM-free digital distribution is the default distribution model of the game, and its episodes can only be purchased as parts of a complete season pass, not separately from one another.",FALSE,"DRM-freie digitale Distribution ist das Standardverteilungsmodell des Spiels, und ihre Episoden können nur als Teile eines kompletten Saisonpasss erworben werden, nicht separat voneinander."
Digital rights management brings more harm than good,"Digital rights management is a more general term because it includes all sorts of management of works, including copy restrictions.",FALSE,"Das Digital Rights Management ist eine allgemeinere Begriffe, da sie alle möglichen Management von Werken umfasst, einschließlich Kopiereinschränkungen."
Digital rights management brings more harm than good,Digital rights management is sometimes applied to control information.,FALSE,Digital Rights Management wird manchmal auf Steuerungsinformationen angewendet.
Digital rights management brings more harm than good,"Removes DRM protection legally, because it is capable to bypass restriction using a unique audio and video converting mechanism.",FALSE,"Entfernt den DRM-Schutz rechtlich, da er die Einschränkung mit einem einzigartigen Audio- und Video-Konvertierungsmechanismus umgehen kann."
Digital rights management brings more harm than good,"The digital rights management product became a success and by 1993 generated sales of $4,000,000.",TRUE,Das Digital Rights Management-Produkt wurde zum Erfolg und erstellte sich 1993 einen Umsatz von 4.000.000 US-Dollar.
Digital rights management brings more harm than good,Rights management: What intellectual property rights must be observed?.,FALSE,Rights Management: Welche geistigen Eigentumsrechte müssen beachtet werden?
Digital rights management brings more harm than good,"On June 16, 2011, the Neverwinter Nights digital rights management (DRM) authentication server was temporarily taken down as a reaction by Electronic Arts to the Neverwinter Nights store being hacked and customer data stolen.",FALSE,"Am 16. Juni 2011 wurde der Neverwinter Nights Digital Rights Management (DRM) Authentifizierungsserver (Everwinter Nights-Authentifizierungsserver) vorübergehend als Reaktion von elektronischen Künsten an den Neverwinter Nights Store abgenommen, der gehackt wurde und Kundendaten gestohlen wurden."
Digital rights management brings more harm than good,"Other legal and technical aspects, such as software patents and digital rights management may restrict users in exercising their rights, and thus prevent software from being free.",FALSE,"Andere rechtliche und technische Aspekte wie Softwarepatente und Digital Rights Management können Benutzer bei der Ausübung ihrer Rechte einschränken und somit verhindert, dass Software frei ist."
Digital rights management brings more harm than good,"(ii) to distribute, import for distribution, broadcast or communicate to the public, without authority, works or copies of works knowing that electronic rights management information has been removed or altered without authority."".",FALSE,"(ii) Verteilen, Import für Vertrieb, Sendung oder Kommunikation mit der Öffentlichkeit, ohne Autorität, Arbeiten oder Kopien von Werken, die wissen, dass die elektronische Rechte-Management-Informationen ohne Autorität entfernt oder verändert wurden. """
Digital rights management brings more harm than good,"Tracks under digital rights management cannot be changed, and neither can tracks with a missing source link.",FALSE,"Tracks unter Digital Rights Management können nicht geändert werden, und weder mit einem fehlenden Quelllink nicht verfolgt werden können."
Digital rights management brings more harm than good,Digital files are inherently capable of being copied perfectly in unlimited quantities; digital rights management aims to reduce intellectual property rights violations by using hardware or cryptographic techniques to limit copying or playback.,TRUE,"Digitale Dateien sind von Natur aus in der Lage, in uneingeschränkte Mengen perfekt kopiert zu werden. Das digitale Rechtsmanagement zielt darauf ab, die Rechte der geistigen Eigentumsrechte durch die Verwendung von Hardware oder kryptographischen Techniken zu reduzieren, um das Kopieren oder die Wiedergabe zu begrenzen."
Digital rights management brings more harm than good,digital rights management (DRM) is used to digitally copyright material and allows users to use that media for specific cases.,FALSE,"Digital Rights Management (DRM) dient zum digital urheberrechtlich geschützten Material und ermöglicht es Benutzern, diese Medien für bestimmte Fälle zu verwenden."
Digital rights management brings more harm than good,"In this step, the read-only structures of digital rights management systems force some limitations on content management, as they do not allow authors to change protected content in their life cycle.",FALSE,"In diesem Schritt zwingen die schreibgeschützten Strukturen von digitalen Rechtsmanagementsystemen einige Einschränkungen für das Content-Management, da dies nicht zulässt, dass Autoren den geschützten Inhalt in ihrem Lebenszyklus ändern können."
Digital rights management brings more harm than good,The abolition of digital rights management represented a major shift for the industry.,FALSE,Die Abschaffung des Digitalrechtsmanagements hat eine große Verschiebung der Branche dargestellt.
Digital rights management brings more harm than good,"He believes that while copyright infringement is an issue, blaming it for poor sales - and insisting on ""stupid"" forms of digital rights management - ""hides other underlying causes.""",FALSE,"Er glaubt, dass während der Urheberrechtsverletzung ein Problem ist, um ihn für den schlechten Umsatz zu beschuldigen - und darauf bestehen, auf ""dumme"" Formen der digitalen Rechtsrechte - ""verbirgt andere zugrunde liegende Ursachen."""
Digital rights management brings more harm than good,Digital rights management (DRM) schemes are various access control technologies that are used to restrict usage of proprietary hardware and copyrighted works.,FALSE,"Digital Rights Management (DRM) -Schemata sind verschiedene Zugangskontrollentechnologien, die zur Einschränkung der Verwendung von proprietären Hardware und urheberrechtlich geschützten Werken verwendet werden."
Digital rights management brings more harm than good,DRM-protection has to be removed prior to release and only the 0day ZIP/DIZ packaging can be used.,FALSE,"Der DRM-Schutz muss vor der Freigabe entfernt werden, und nur die 0Day-ZIP / DIZ-Verpackung kann verwendet werden."
Digital rights management brings more harm than good,Digital rights management (DRM) is a type of technology that is intended to control the use of digital content and devices after purchase.,FALSE,"Digital Rights Management (DRM) ist eine Art von Technologie, die die Verwendung digitaler Inhalte und -geräte nach dem Kauf steuern soll."
Digital rights management brings more harm than good,The extra layer of digital rights management (DRM) security allows broadcast operators to enable consumers to share their content on multimedia devices without the risk of piracy.,TRUE,"Die Extra-Ebene von Digital Rights Management (DRM) ermöglicht es Broadcast-Operatoren, dass die Verbraucher den Inhalt auf Multimedia-Geräten ohne das Risiko von Piraterie teilen können."
Digital rights management brings more harm than good,"The FTC alleged that the companies decided to rig the market once non-DRM (digital rights management) digital songs were allowed to be downloaded, starting May 2008 (previously, only DRM songs were allowed on the market).",FALSE,"Der FTC meldete an, dass die Unternehmen, die sich entschieden haben, den Markt festzulegen, nach der Nicht-DRM-Songs (Digital Rights Management) digitale Songs dabei darf, ab Mai 2008 (zuvor nur DRM-Songs waren)."
Digital rights management brings more harm than good,The law Copyright and Related Rights Regulations 2003 makes circumventing DRM protection measures legal for the purpose of interoperability but not copyright infringement.,FALSE,"Das juristische Urheberrechts- und verwandte Rechtsbestimmungen 2003 macht den Umgehen von DRM-Schutzmaßnahmen für den Zweck der Interoperabilität, aber nicht die Urheberrechtsverletzung."
Digital rights management brings more harm than good,"The term ""copyright protection"" is occasionally seen in this usage, but is an error; copy protection or Digital Rights Management is the usual term.",FALSE,"Der Begriff ""Copyright Protection"" wird gelegentlich in dieser Verwendung gesehen, ist jedoch ein Fehler; Kopierschutz oder digitales Rechtsmanagement ist der übliche Begriff."
Digital rights management brings more harm than good,"With no single clearly defined or open standard for the digital rights management used in the above methods, there is no 100% compatible way of delivering restricted or time-sensitive content to any device or player.",FALSE,"Bei kein einzelner klar definierter oder offener Norm für das in den obige Methoden verwendete digitale Rechtsrechte, der in den obigen Methoden verwendet wird, gibt es keine 100% kompatible Art, eingeschränkte oder zeitempfindliche Inhalte an jedes Gerät oder einen Spieler zu liefern."
