Sentence,Claim,Article
"Eine rote Plastiktüte wird in jeder Episode durch den Wind durch den Wind durch die Stadt geblasen, was darauf hinweist, dass alle Geschichten gleichzeitig auftreten.",False,We should tax plastic bags
"Und Herr Salathé aus Schweizer Sicht, wie das bei der Schweizer App geplant ist?",False,
"Damit möchte ich jetzt zu unserem zweiten Experten kommen, Herr Professor Dr. Gérard Krause vom Helmholtz-Zentrum für Infektionsforschung in Braunschweig.",False,
"Und das muss mitbedacht werden bei der ganzen Strategie, denn die Probenentnahme trägt ja mit dazu bei, ob der Test positiv ist oder nicht, wenn man es richtig macht oder wenn man es falsch macht.",True,
"Man muss auch bedenken, wenn man es den Probanden selbst überlässt und ein Proband vielleicht konkretes Interesse hat, dass der Test negativ ausfällt, kann er dazu beitragen, dass der Test so durchgeführt wird, dass er negativ ausfällt.",True,
"Wenn wir jetzt ganz stark massenhaft Menschen testen, von denen wir eigentlich schon vorhersagen können, dass sie negativ ausfallen werden, weil wir keine Vorselektion gemacht haben, zum Beispiel aufgrund von Risikofaktoren, aufgrund von Exposition oder aufgrund von Symptomen, dann verstopfen die den Prozess und führen zu Verzögerungen des gesamten Prozesses.",True,
"Und deswegen ist es vielleicht wirklich ein Game Changer, wenn jetzt mit den Schnelltests diese zuletzt genannten, die nicht ganz so prioritären Beprobungen über den Schnelltest gemacht werden, wo es nicht darauf ankommt, eine Differenzialdiagnose zu machen, wo es nicht darauf ankommt, einen erkrankten Menschen korrekt zu diagnostizieren, sondern wo es darauf ankommt, die Exposition zu reduzieren.",True,
"Und ich glaube auch, dass diese Selbsttestung mit Antigen-Tests von Laien nicht so schnell oder vielleicht auch nie erfolgen wird, ohne dass da eine enge Betreuung durch medizinisches Personal dahintersteht.",True,
"Das ist das, was bei diesem Antigen-Test meiner Einschätzung nach den wesentlichen Punkt für die falsch-negativen Tests macht.",False,
"In der Diskussion ist ja auch, dass die Antegen-Tests in den Schulen angewandt wird.",True,
"Wissen Sie denn, ob Laien solche Schnelltests derzeit rechtlich und mit Blick auf die Medizinprodukte-Abgabeverordnung nutzen dürfen?",False,
"Mit 1,1 Millionen PCR-Tests pro Woche und einer Kapazität von anderthalb Millionen möglichen Schnelltests kann praktisch jede Kontaktperson eines Infizierten getestet werden.",True,
"Sehen Sie diese Gefahr auch, dass das kommen könnte, dass Sie jetzt sehr viel eingesetzt werden und man dann feststellt, dass sie uns eigentlich gar nicht so weiterhelfen?",False,
"Und ich glaube, dass es auch ganz wichtig ist, dass man denen das kommuniziert und da sehr gute Anbindung hat, dass die wirklich wissen, an wen kann ich mich wenden, wenn das Ergebnis positiv ist, wo kriege ich sofort eine Bestätigung des PCR und muss nicht dreimal rumtelefonieren oder vier Tage warten.",True,
"Was mir besonders wichtig ist, ist, dass auch wenn wir mehr testen, dass das nicht einen Schutz vor einer Infektion sein muss und dass wir trotzdem Basishygiene einhalten müssen und da nicht nachlässig werden dürfen.",True,
"Wir haben drei medizinische Fachleute und einen Medizin-Ethiker eingeladen, Fragen wie diese zu beantworten.",False,
"Herr Heneka hat mir eben noch kurz erzählt, seine Declaration of Interest, dass darunter auch Lilly, Pfizer, Biogen, MSD, Novar-tis, Predemtec, fällt.",True,
"Herr Levin beschäftigt sich intensiv mit Menschen, die mitten im Leben stehen und doch erschreckenderweise aufgrund von Grund von Erbanla-gen nahezu mit Sicherheit an Alzheimer erkranken werden.",True,
"Und andersherum, dass Patienten mit einer nicht für Alzheimer typischen Demenz, sehr wohl auch eine Alzheimer-Krankheit als Ursache haben kön-nen.",False,
"Und was wir in der genannten DIAN-Studie tun, ist, dass wir uns sozusagen auf eine gewisse Weise zunutze machen, dass es im Prinzip für alle Mutationsträger schon bei Geburt klar ist, dass sie irgendwann einmal an der Alzheimer-Erkrankung erkranken werden.",True,
"Gerade Ihren Ansatz, sozusagen neuroin-flammatorisch, wäre da nicht gerade bei solchen Patienten auch ein möglicher Heilversuch wert?",False,
"Und gerade im Bereich der nicht einwilligungsfähigen Patientinnen und Patienten, also nicht nur diejenigen, die an Demenz-Erkrankungen erkrankt sind, sondern zum Beispiel auch bei Kindern, ge-rade in diesen Bereichen ist die Forschung immer sehr schwer.",True,
"Vielleicht noch eine andere Sache, es gibt unter anderem in den USA sogenannte Demenzpräventions-Register, das sind sozusagen internetbasierte Plattformen, wo Information über Demenzprävention gegeben wird und wo man sich eintragen lassen kann, wenn man ein prinzipielles Interesse hat an Demenzprävention und vielleicht auch an Studien teilnehmen möchte.",True,
"9 Von Menschen, die sich dort eintragen und Interesse an Demenzprävention, an Demenzpräventionsstudien im Prinzip haben.",False,
"Volker Stollorz: (1:02:45) Hier ist nochmal eine Nachfrage nach dem Patientenwillen, das hatten Sie ange-sprochen.",False,
"Wir selber haben zum Bei-spiel noch in Bonner Zeiten mal eine Studie gemacht, bei der wir sozusagen bei Personen, die Demenz-Er-krankte in der Familie haben und quasi Demenz kannten, verschiedene Szenarien durchgespielt haben von medizinischen Prozeduren.",False,
"Und hat auch nicht initiiert, dass er umgebracht wird, weil sie denn Eindruck hatte, er hat Lebensqualität in der Demenz.",False,
"Was sich aber dann wiede-rum mit der Behindertenrechte-Charta nicht einfach vereinbaren lässt, dass sie ein Recht auf Teilhabe an me-dizinischer Forschung haben und auch sozusagen alle in der Bundesrepublik lebenden Menschen und Politiker vor allen Dingen, dazu angehalten sind, sich dafür stark zu machen, dass das umsetzbar ist.",True,
"Volker Stollorz: (1:09:44) Ich habe hier noch eine Frage von Kathrin Zinkant von der Süddeutschen Zeitung, und die fragt insbesondere nochmal zu einer, sag ich mal, einer Form der Früherkennung, auch bezogen auf Menschen, die genetisch wissen, dass sie ein Risiko tragen, weil sie eine dominant-monogenetische Erkran-kung haben.",False,
"Ich glaube genauso wenig wie Herr Levin an das eine Medikament und möchte nochmal dran erinnern, es ist biologisch so, dass wir nicht in einer Hirnhe-misphäre nicht zwei Regionen haben, die sich im selben Erkrankungszustand befinden.",True,
"Wahlen sind durch gezielte Kampagnen in sozialen Netzwerken offenbar beeinflussbar, nicht nur durch die Kandidaten, ich denke da mal an Barack Obama oder Donald Trump, sondern zum Beispiel auch durch den Verdacht, dass ausländische Mächte sich einmischen könnten.",True,
Die Frage ist nun: Wie wahrscheinlich sind eigentlich  Desinformationskampagnen?,False,
"Aus mei-ner Sicht könnte eine viel größere Gefahr im direkten Vorfeld der Wahlen jedoch durch das soge-nannte ""leaken"" von brisanten oder gegebenenfalls falschen oder auch gestohlenen Informationen ausgehen.",True,
"Und ich denke in vielen Fällen sind es weniger die einzelnen Storys, die einzelnen Desinformationen, die verbreitet werden, sondern eher vielleicht das Gesamtbild.",True,
"Die Desinformationen, die von Randgruppen weitergeleitet werden, werden eventuell für den Mainstream der Gesellschaft auch sichtbar werden durch die sozialen Vernetzungen, die auf Social Media existieren.",True,
"Die Qualität dieser Desinformationsdistribution, würde ich sagen, hat sich gegenüber früheren Jahrzehnten – also der klassischen Propaganda – grundlegend geändert.",True,
"Das heißt Falsch- und Desinformationen begleiten sehr viele Menschen quasi per-manent durch ihren Alltag und sind, weil sie oft sehr gut gemacht sind, von wahrheitsorientierter Information oft kaum noch unterscheidbar.",True,
"Ihnen geht es nämlich zuvörderst darum, dass wir als User einfach möglichst viel interagieren und dadurch sehr viele Datenspuren produzieren, ins Netz setzen, und diese Datenspuren, diese Verhaltensspuren, mit unseren Einstellungen, unseren Meinungen, sind letztlich das Grundkapital dieser Tech-Unternehmen.",True,
"Da ist es einerseits für russische aber auch andere Interessen interessant, die allgemeinen Wähler aus der Mitte nach Möglichkeit dazu zu bringen, nicht zur Wahl zu gehen.",True,
"Aber dann die Randgruppen, die vielleicht für Propaganda mehr empfänglich sind, die dazu zu bringen, ganz besonders zu wählen, weil man dadurch natürlich die Mehrheitsverhältnisse im Parlament ein wenig in seine Richtung beeinflus-sen kann.",True,
"Die Frage, ist, und das ist aus meiner Sicht nicht wirklich geklärt, ist wie wirkungsvoll das ist, weil in aller Regel erkennt man das, was da gepostet wird, relativ schnell als die Aktionen von Social Bots.",True,
"Da gibt es Fragen, die geregelt wer-den müssen, aber ich denke, es wird irgendwann darauf hinauslaufen müssen, dass irgendjemand, wenn man nicht möchte, dass der Staat irgendwann zugreift, dass jemand Drittes, dem man viel-leicht einiger Maßen vertraut – ich hoffe, dass man der Wissenschaft so weit vertraut, dass die Wis-senschaft auch irgendwann Zugriff bekommt und quasi eine dritte Meinung bilden kann.",False,
"Nutzen Sie die Gelegenheit, unsere drei Expert*innen nach den Dingen zu fragen, die Sie wissen wollen.",False,
"Und ich glaube, wir hätten auch als Gesellschaft und auch als Mediengesellschaft die Aufgabe, diesen Dingen mal nachzuspüren, also auch mal dranzubleiben, ja, was passiert denn jetzt wirklich bei der Firma Facebook?",True,
Auf welchen Plattformen läuft denn die meiste Desinformation oder wür-den Sie die meisten Desinformationskampagnen erwarten?,False,
"Wir haben ja schon dargestellt, dass wir quasi an die Daten auch nur begrenzt rankommen, das heißt, wir haben eine begrenzte Sicht auf die tatsächlich laufenden Desinformationskampagnen.",True,
"Was auch nicht unwichtig ist, weil gerade Politiker und Journalisten sind quasi Multiplikatoren, sind auch Leute, die quasi Themen in der gesellschaftli-chen Diskussion setzen.",True,
"Ich glaube, der indirekte Effekt von diesen permanenten Desinformationskampagnen und der gefühlten Wehrlosigkeit unserer Gesellschaft, der Politik, des Journalismus zum Teil, gegen diese Desinformationskampagnen, weil sie unglaublich schnell funktionieren, weil sie unglaublich effek-tiv funktionieren, sich unglaublich gut verbreiten lassen, wird sozusagen auf lange Sicht dazu füh-ren, dass wir einen gewissen Vertrauensverlust in all diese Institutionen haben.",True,
"All diese Aspekte führen dazu, dass wir Desinformation nicht als einzelnen Effekt, sondern als ein permanentes Phänomen wahrnehmen, wo offensichtlich keiner irgendwelche Möglichkeiten sieht.",True,
"Aus deren Sicht könnte man sagen, dass die Debatte über die Desinforma-tion ganz nützlich ist, und eben die Leute darauf stößt, dass sie doch für sich selbst nachdenken sollten.",True,
"Das Problem insgesamt ist allerdings auch, dass viele Befragungen von Leuten immer wieder zeigen, dass die Menschen glauben: ""Ja, Desinformation ist zwar ein Problem, aber ich kann das schon erkennen, wenn ich es sehe.""",True,
"Da gibt es viele Umfragen, auch teilweise experimentelle Befragungen, wie die Leute mit Desinformationen konfrontiert werden und dann gefragt werden ""Hast du das erkannt, dass das nicht stimmt?""",True,
"Im Dezember des vergangenen Jahres haben sich nun zum ersten Mal fast 50 Expertinnen und Exper-ten des IPCC und des IPBES getroffen, um die Themen Biodiversität und Klimawandel nicht unab-hängig, sondern gemeinsam zu diskutieren.",True,
"Herr Pörtner, ich hoffe, die ganz schnelle Zusammenfassung ist irgendwie in Ordnung für Sie.",False,
Am besten in den natürlichen Ökosys-temen.,False,
"Das Problem ist, dass manche Bäume, manche Arten sogenannte volatile Kohlenstoffverbindungen aus den Blättern emittieren.",True,
"Also Klimaschutzmaßnahmen haben ein höheres Risiko, sich negativ auf die Biodiversität auszuwirken.",True,
"Aber da fangen wir gerne mal bei Deutschland an, da hat der Sepp schon recht.",False,
"Frau Arneth, an den Teil, den Sie gerade beigetragen haben, passt noch die Frage einer Kollegin, die sagt: Welche Kriterien muss denn ein Wiederaufforstungsprojekt erfüllen, damit es auch die Krite-rien erfüllt, die für die Biodiversität wichtig sind?",False,
Das ist natür-lich auch immer sehr wichtig für die Biodiversität.,False,
"Ich würde da vielleicht noch ein zweites Beispiel ganz gerne auch anbringen, was auch … ein ext-rem komplexes ist, wenn es um erneuerbare Energien geht, die wir natürlich alle unterstützen, weil wir natürlich von den fossilen Brennstoffen weg müssen.",True,
"Aber es ist zweifellos so, dass natürlich für die Herstellung von Elektromobilität und so weiter, Speicherung, Batterien und so weiter, Pro-zesse ja auch sehr viel Material benötigt wird, was einfach durch verschiedene Minen gewonnen wird.",True,
"Und ich möchte jetzt hier nicht sagen, dass wir keine erneuerbaren Energien massenhaft einsetzen sollen, beileibe nicht, aber das Wichtige ist einfach, dass wir in diesen eher technischen Möglichkeiten ganz stark natürlich schauen müssen auf eine Kreislaufwirtschaft, auf Recycling, auf lang haltbare Produkte und so weiter und so weiter, die wirklich auch wieder Teil des gesamten Systems sein müssen, wenn man eben Klimaschutz und Artenschutz gemeinsam betrachtet.",True,
"Und ihre Frage: Welche Unterstützung und Ausgleichsmaßnahmen sind im Sinne von Klimagerechtigkeit notwendig dafür, dass Artenvielfalt im globalen Süden erhalten bleibt, ohne dass es ein Verharren in Armut für einen Großteil der Menschen gleichzeitig bedeutet?",False,
"Herr Settele, ich habe an Sie gedacht bei dieser Frage der Kollegin.",False,
Aber wir waren zumindest im globalen Assessment – Almut kann vielleicht ergänzen dazu noch – etwas vorsichtig bei dieser Bezifferung des Wertes von einzelnen Elementen der Natur.,False,
"Für mich persönlich meine ganz persönliche Meinung, schon ein bisschen dazu neige, ist jetzt weniger die Artenvielfalt zu bepreisen, aber Ökosystemleistungen, wie zum Beispiel Bestäubungen, oder andere Ökosystemleistungen, das heißt auch durch Recreati-on und Tourismus oder auch mentale Gesundheit durch Erholungsgebiete und so was.",True,
"Mich würde interessieren, je-weils aus Ihrer individuellen Perspektive, was Sie denn aus diesem Workshop tatsächlich zentral mitnehmen und inwiefern aus Ihrer Perspektive die Botschaft nach draußen in Gesellschaft und Politik denn vielleicht ein bisschen anders klingt als die nach all den IPBES-Assessments und IPCC-Berichten?",False,
"Das eine, das haben wir auch schon einmal diskutiert, dass Klimaschutz nicht unbedingt Umweltschutz ist, aber sein sollte – und umgekehrt natürlich auch.",True,
"Das Problem ist aber, dass man bei dieser Situation, wie Coronaviren, wir ja Fallmeldungen haben und die Kontaktpersonen von diesen Fällen, die sind ja möglicherweise ganz woanders in ganz anderen Landkreisen.",True,
"Ja, das sind ganz wichtige Punkte, gerade hier bei Coronaviren, wo ja viele Patienten schon Träger sind und schon Überträger sein können bevor sie überhaupt Symptome bekommen.",True,
"Aber was man eben machen muss, ist die Effizienz in dieser Fallverfolgung und dann Infektionsverhinderung, darum geht es ja letztendlich bei der Fallverfolgung, steigern.",True,
"Oder auch, dass die Bundeswehr prinzipiell breitflächig so eine Art Servicedienstleistung macht.",False,
"Das heißt, die Epidemie wandert nicht nur geografisch, sondern die wandert auch in den Altersgruppen, jetzt in die älteren Altersgruppen rein.",True,
Die Frage hatten nämlich auch gerade: Wie wichtig ist eigentlich die Intensivstationen zu beobachten?,False,
"Das heißt die Versorgungskapazität, wann ist die erschöpft oder wann deutet sich an, dass sie erschöpft sein wird?",False,
"Die Frage ist, ob Sie zum Standstand etwas sagen können und was genau das Ziel aus Ihrer Sicht der Studie ist und wann mit Ergebnissen zu rechnen ist?",False,
Aber auch in Altenheimen?,False,
"Die kann man vielleicht dadurch abkürzen, dass man sagt, ein positiver Antikörpertest, wenn der technisch vernünftig ist, der sagt zumindest mal aus, dass man die Infektion durchgemacht hat, und zwar vor allem in der demnächst kommenden Zeit, wo nicht mehr so viele kreuzreaktive Coronavirus-Erkältungen in der Bevölkerung vorkommen, weil die Erkältungssaison vorbei ist.",True,
"Und weil das Virus sehr repliziert im Rachen, sehr aktiv, da ist viel Virus - glaube ich schon, dass diese Teste auch Virus nachweisen können.",True,
"Christian, das kannst du beantworten.",False,
"Und ich bedanke mich recht herzlich bei Ihnen beiden, Herr Drosten, Herr Krause es war sehr erhellend und vielen, vielen Dank und eine gute Zeit noch.",False,
"Erst mal vielen Dank, dass ich hier dabei sein darf.",False,
"Und das ist ganz wichtig, das immer zu sagen: Es ist eine Abschätzung, das Blue-tooth-Protokoll wurde nie entwickelt, um Distanzmessungen zu machen.",True,
"Und das ist natürlich eine gute Chance im Moment, die Infiziertenzahlen in Deutschland sind ja eher niedrig, so dass man auch nicht davon ausgehen muss, dass jetzt die Kon-taktpersonenzahl rasant über die App erst einmal ansteigen wird.",True,
"Es ist ange-kündigt, dass heute im Laufe des Tages, wahrscheinlich am Ende des Tages, vom Robert Koch-Insti-tut dazu Unterlagen verteilt werden an die Gesundheitsämter, wo auch konkret die Meldungen drin zu sehen sind.",False,
Dann vielleicht eine andere Frage an Herrn Salathé.,False,
"Ganz konkret – ich weiß nicht, ob man das kon-kret sagen kann bei der Bluetooth-Genauigkeit – aber in welchem Bereich kann der Abstand zu ei-ner infizierten Person bei einer Warnung variieren?",False,
Aber dass man dann auch im Gespräch auf die Person eingeht und sagt: Wie sieht denn dein Alltag aus?,False,
"Aber kann man da irgendeine grobe Angabe machen, dass man sagen kann: Im Großteil der Fälle ist die Bluetooth-Ungenauigkeit ungefähr x Meter?",False,
"Gibts da schon irgendwelche Pläne, dass das kompatibel sein könnte?",False,
"Frau Teichert, vielleicht an Sie nochmal die Frage: Wie kann man denn überhaupt sicherstellen, dass wirklich nur Infizierte auf die App reagieren?",False,
"Das ist klar, weil da ja auch die Batterie (sehr) schnell runter geht.",False,
